gene_symbol,total_records,vus_records,pathogenic_or_likely_pathogenic_records,benign_or_likely_benign_records,conflicting_records
TTN,74024,23598.0,18472.0,31468.0,7974.0
APC,32572,16686.0,6624.0,7417.0,1448.0
ATM,37546,16359.0,10255.0,10847.0,2762.0
NF1,32543,11633.0,12636.0,8117.0,2142.0
POLE,21023,10389.0,2694.0,7884.0,1746.0
RYR2,18306,9066.0,1786.0,7362.0,1292.0
RYR1,20627,9018.0,2955.0,8514.0,1414.0
MSH6,20206,8694.0,6712.0,4784.0,2274.0
TSC2,23948,8406.0,5777.0,8272.0,2950.0
BRCA2,41797,8046.0,22511.0,11164.0,11258.0
DICER1,14564,7317.0,2193.0,4998.0,612.0
SYNE1,13631,6926.0,1875.0,4690.0,1134.0
PLEC,12615,6820.0,1603.0,4106.0,1298.0
ALK,12030,6787.0,728.0,4442.0,690.0
NEB,24290,6482.0,5503.0,12181.0,1958.0
PKD1,13463,6359.0,4927.0,2093.0,740.0
DMD,21067,6281.0,6889.0,7381.0,1356.0
BRIP1,12481,6157.0,2668.0,3592.0,838.0
ALMS1,14377,6146.0,2794.0,5375.0,908.0
USH2A,18683,6044.0,5097.0,7492.0,930.0
OBSCN,11094,5741.0,190.0,4913.0,96.0
RECQL4,10519,5696.0,1098.0,3668.0,336.0
POLD1,11131,5555.0,898.0,4644.0,886.0
MYH7,10887,5505.0,1826.0,3534.0,982.0
MSH3,10272,5473.0,1583.0,3176.0,420.0
PALB2,13086,5428.0,4311.0,3318.0,1370.0
PMS2,11680,5426.0,3007.0,3230.0,992.0
PRKDC,9755,5256.0,99.0,4230.0,94.0
SMARCA4,12667,5234.0,1599.0,5710.0,982.0
RAD50,9425,5192.0,1312.0,2889.0,306.0
BLM,9954,5127.0,1664.0,3111.0,540.0
FBN1,17624,5091.0,8341.0,4148.0,1296.0
PTCH1,11939,4993.0,2666.0,4218.0,1214.0
FLNC,11440,4957.0,2101.0,4360.0,980.0
MET,9122,4941.0,786.0,3321.0,760.0
SYNE2,8940,4886.0,640.0,3250.0,624.0
FANCA,12775,4884.0,2874.0,4914.0,684.0
DSP,11289,4877.0,2946.0,3418.0,1400.0
POLQ,7352,4860.0,6.0,2424.0,6.0
VPS13B,12990,4854.0,2484.0,5527.0,400.0
CFTR,11779,4759.0,3654.0,3097.0,764.0
BRCA1,30614,4727.0,14517.0,7071.0,5747.0
LRRK2,7984,4680.0,142.0,3024.0,122.0
MSH2,16138,4636.0,7121.0,4336.0,2622.0
DST,8028,4600.0,544.0,2866.0,178.0
FANCM,7213,4539.0,644.0,1986.0,240.0
ZNF469,10358,4455.0,1373.0,4515.0,1016.0
KMT2D,13737,4431.0,3336.0,5764.0,1326.0
AXIN2,8272,4405.0,973.0,2880.0,596.0
TSC1,10937,4384.0,2603.0,3384.0,1136.0
SCN5A,9431,4376.0,1795.0,2972.0,742.0
CDH1,10011,4339.0,2203.0,3413.0,896.0
ATR,8106,4337.0,421.0,3252.0,186.0
LZTR1,8586,4310.0,1936.0,2312.0,476.0
KIF1B,7582,4296.0,304.0,2904.0,300.0
MLH1,12349,4264.0,4873.0,3172.0,916.0
PKHD1,12920,4162.0,3489.0,5231.0,896.0
HMCN1,7085,4153.0,300.0,2520.0,298.0
MLH3,6271,4129.0,254.0,1862.0,232.0
BARD1,8923,4122.0,2088.0,2687.0,810.0
CDH23,12133,4060.0,2074.0,5942.0,686.0
DYNC1H1,10617,4051.0,1114.0,5332.0,770.0
CHEK2,8972,4050.0,2656.0,2230.0,528.0
ANK2,7915,4023.0,856.0,2978.0,694.0
RET,8422,4012.0,1131.0,3250.0,796.0
ALPK2,6462,4008.0,2.0,2382.0,2.0
MUTYH,8149,3961.0,1978.0,2188.0,1166.0
ADGRV1,13835,3905.0,2806.0,7034.0,1494.0
WRN,7691,3881.0,1064.0,2692.0,186.0
PDGFRA,7441,3867.0,516.0,2942.0,502.0
MYH11,7624,3859.0,586.0,3107.0,440.0
RTEL1,8663,3793.0,755.0,4114.0,212.0
AKAP9,6875,3769.0,582.0,2432.0,576.0
LRP2,9809,3759.0,883.0,5085.0,490.0
FAT4,6672,3722.0,378.0,2502.0,264.0
PCLO,6409,3672.0,229.0,2454.0,84.0
APOB,9404,3671.0,2031.0,3688.0,1556.0
MYBPC3,8780,3611.0,2804.0,2355.0,718.0
EYS,10295,3598.0,2623.0,4054.0,366.0
NBN,7450,3589.0,1590.0,2227.0,510.0
COL12A1,7363,3564.0,833.0,2888.0,584.0
TNXB,6680,3543.0,673.0,2434.0,410.0
RB1,8552,3492.0,2284.0,2700.0,432.0
RELN,7892,3474.0,844.0,3498.0,624.0
CACNA1A,8502,3467.0,1822.0,3160.0,698.0
SCN9A,5766,3352.0,646.0,1732.0,302.0
EGFR,7374,3312.0,632.0,3182.0,412.0
SZT2,6923,3292.0,503.0,3028.0,150.0
ALPK3,5899,3241.0,790.0,1846.0,304.0
LYST,7755,3239.0,817.0,3554.0,292.0
ANKRD26,5114,3224.0,278.0,1578.0,254.0
MYH6,5543,3210.0,289.0,2030.0,254.0
SCN1A,10022,3209.0,4820.0,1811.0,692.0
COL6A3,7546,3202.0,1708.0,2538.0,1312.0
KMT2A,6817,3179.0,1274.0,2260.0,262.0
HSPG2,6687,3178.0,679.0,2670.0,454.0
CTNNA1,6748,3159.0,723.0,2830.0,278.0
SDHA,6298,3144.0,950.0,2164.0,342.0
TERT,7264,3143.0,811.0,3246.0,486.0
WNK2,5302,3142.0,2.0,2094.0,0.0
